condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EC,F8,-4.630138725071757e-08,6.36584626000286e-11,0.12706163468691856,0.2513352075880362,6.49379767714939e-05,0.0006022570050065563,0.0018595369838016683,0.03439579277672411,3.830067958894914e-06,,4.762466206544897e-12,2.7058446914120033e-12,5.268660135734058e-12,3.717409243475526e-12,4.821290187145479e-13,2.465920792323708e-13
EC,FC3,-1.0419363535607818e-08,9.73248103407887e-11,0.02057093345229232,0.4022216255924165,9.110616924758046e-05,0.0007312348923156837,0.0023035300172298905,0.03758488260598709,5.8493794477975585e-06,,7.390368955866578e-12,5.792999586753329e-12,9.783556381725677e-12,6.592747365704738e-12,6.917278575023244e-13,2.280718521128307e-13
EC,FCz,-3.2188667032053e-08,1.2090644684150164e-10,0.02298685436277526,0.308257965778004,9.624286405793598e-05,0.0007955392052769416,0.0025735928120467744,0.040249255586114266,7.2711357281854025e-06,,9.718137709418332e-12,7.179724430356748e-12,1.2274478357239049e-11,8.212170809712452e-12,7.811481967753944e-13,2.372149260162571e-13
EC,FC4,-2.6636855802310093e-08,9.305224838200112e-11,0.07295341072174287,0.361429795625809,9.070407075339291e-05,0.0007157484475739439,0.002252171713793009,0.03629788494358487,5.594605428546529e-06,,7.175004198385583e-12,5.173381333519917e-12,9.285111905577855e-12,6.5157199510305055e-12,6.911272154995876e-13,2.312530028389738e-13
EC,T7,1.1749377762996945e-08,4.129267201938809e-11,-0.0002255467610544388,0.3383848467989634,5.835912025473942e-05,0.0005202033296751763,0.0014857915371887882,0.025130595252350372,2.4829564961608274e-06,,2.4180822095218043e-12,1.9354160951581064e-12,3.458947894036098e-12,2.867716136264005e-12,4.3088458150020037e-13,2.1318013313920762e-13
EC,C3,-1.8574367780029252e-08,7.946719359397924e-11,0.014279317180945843,0.3042322039765293,7.870708256144172e-05,0.0006833520301573584,0.002074192452986437,0.030019366239620118,4.7796336330778214e-06,,5.7259629138384255e-12,4.7637688439292804e-12,7.422084954300438e-12,5.066831528819675e-12,7.03699115054286e-13,2.2065900751950628e-13
EC,Cz,-1.5971342280372866e-08,1.2647357694507355e-10,0.02679108747585758,0.126771974375552,8.930946516783408e-05,0.0008251273563988495,0.002628591233899547,0.03991685809876932,7.598447372743641e-06,,1.1220060084367725e-11,7.389021847609932e-12,1.202502405213265e-11,8.090741802122863e-12,9.202025619189671e-13,2.592392065664533e-13
EC,C4,-2.7399363554037477e-08,8.355517903272657e-11,0.06706222760694576,0.24119230227710897,7.617118977608058e-05,0.0006962396739726167,0.0021283466448874947,0.031859928836757805,5.02542748545087e-06,,5.74923951925749e-12,4.4870298159867985e-12,7.711077802152836e-12,6.260882360889419e-12,7.879387722986797e-13,2.2150958585766793e-13
EC,T8,-3.016279035497445e-08,4.563891921500521e-11,0.01856654221080958,0.16689621277062905,6.0122840008371e-05,0.0005418024206641364,0.0015638172767089022,0.026434424864128756,2.74803045398021e-06,,2.852391076504341e-12,2.0116518053927297e-12,4.385085317226802e-12,3.5524417794731762e-12,4.834115296761818e-13,2.2399731325726557e-13
EC,CP3,-1.931857031737023e-09,8.099052775613215e-11,0.0008915619418760477,0.28029445891525473,7.707247991805683e-05,0.000700548621004616,0.0020904254057184336,0.02674770904552412,4.866580794337657e-06,,5.3835034303461586e-12,4.532999794717034e-12,6.414048304628695e-12,5.439633576274119e-12,8.458107406725488e-13,2.180143298863445e-13
EC,CPz,-3.6686430663637476e-08,1.1410495801596883e-10,0.018367658754587467,0.15391182116223678,9.015334012102229e-05,0.0007976536304526281,0.0024923560169033262,0.04158987618333511,6.860271069311739e-06,,8.433833101058335e-12,6.48296501810721e-12,1.0618870988319564e-11,8.611769386337393e-12,1.003127898601638e-12,2.355172526607874e-13
EC,CP4,-2.5685568863531515e-08,9.213675662050905e-11,0.04198111651710358,0.18513599088576083,8.389825247844284e-05,0.0007281672636260897,0.002235933693016463,0.04371366770573595,5.536830508108562e-06,,5.452747434822314e-12,4.508826016615133e-12,7.455432104202085e-12,8.363558845158625e-12,9.475936984755038e-13,2.2337893413270115e-13
EC,P7,2.8164858478567906e-08,4.960975948910832e-11,-0.05439768028309827,0.2022649182368581,5.911659739532843e-05,0.0005589368300615243,0.0016324726469970903,0.022697621291566134,2.979255277802927e-06,,2.1680717025599796e-12,1.970327159666947e-12,4.106901433832875e-12,4.429587962135868e-12,5.125968581723259e-13,2.1845046229108392e-13
EC,P3,1.6088142289577187e-10,8.117201708906215e-11,-0.001418341769614873,0.16558476417127022,7.148420112169023e-05,0.0006926171852869203,0.0020956669682463016,0.028829922325120775,4.87897197291409e-06,,4.970566387113208e-12,3.851124115963939e-12,5.66450966811014e-12,6.636233075290213e-12,7.853511349287129e-13,2.1533824088494967e-13
EC,Pz,-2.4580610236349454e-08,1.1123377064872347e-10,0.02228034698313169,0.18254339175911882,9.230144124007129e-05,0.0007780953746108588,0.0024637975961794016,0.04382233927598837,6.686484045807085e-06,,7.1426461481104415e-12,5.457038387296234e-12,9.243491189435417e-12,1.0704728422970389e-11,9.669667010785423e-13,2.2577510799162022e-13
EC,P4,-1.8388792114548696e-08,1.0019483752888093e-10,0.014297664422066233,0.2479245221348063,9.217020262640194e-05,0.0007330101012305815,0.0023400661656719154,0.06274776574716379,6.020673985788269e-06,,4.894967560870827e-12,4.1308519015539155e-12,7.000217105941665e-12,1.185982462708545e-11,9.410630617728448e-13,2.1641646428242665e-13
EC,P8,9.804134195183581e-09,7.850078495753099e-11,-0.03277774888730408,0.081354519168507,7.867075936866534e-05,0.0006338826697209114,0.0020759150124603767,0.06128307082162737,4.716703613791157e-06,,2.9646903340542044e-12,2.312554387283569e-12,5.816771848977195e-12,1.1546671030109708e-11,5.992512826008171e-13,2.1941236711110363e-13
EC,O1,3.990409417813054e-08,9.32428002206925e-11,-0.061277414106068094,-0.027086290814020586,7.04436029739239e-05,0.0006898823678765556,0.002262769218861455,0.05010985851512285,5.597502480714621e-06,,3.3428594223386625e-12,3.1591870619302175e-12,6.957304773631521e-12,1.2359780941037018e-11,6.844703683056842e-13,2.3020178157534884e-13
EC,Oz,1.983760776478512e-08,8.066010185847417e-11,-0.003862677294629388,-0.06932002420285821,6.629879167110784e-05,0.0006551182597721436,0.0021003951286587283,0.05013532799530707,4.844036727759748e-06,,3.1972577546471426e-12,2.7745676419212293e-12,5.427979004847716e-12,1.0504862920950779e-11,6.554207862739129e-13,2.3369079844295886e-13
EC,O2,2.4010232008435038e-08,8.450076284970296e-11,-0.017804695095060195,-0.009965301493973566,7.280468418299017e-05,0.0006532640253687317,0.0021551320130576215,0.060258962322522876,5.075234203329478e-06,,3.0110219777093164e-12,2.7187922969857123e-12,5.289536209210775e-12,1.2296887913315565e-11,6.660450345370062e-13,2.2046062721098515e-13
EC,Erbs,-9.142998847770773e-09,1.2096550511704585e-09,-4.376280011025786,22.033615203454627,0.0003275748862141941,0.0022801871495985453,0.008209640642300996,0.27602014720817447,7.259791455963046e-05,,6.211882201841917e-11,1.0018012553375615e-10,7.992013808771432e-11,5.520578079112353e-11,1.878589710519379e-11,1.195145837104574e-12
EC,OrbOcc,3.3401135288071534e-08,1.2745543294193643e-10,-0.41382295303736005,2.834930421358509,0.00012194217663577134,0.0006819563096611374,0.0026803433277489894,0.07570791624394953,7.663054984718123e-06,,1.2846703343599245e-11,1.922889192972271e-12,3.767119590832714e-12,3.095523523383873e-12,4.725562930188224e-13,3.0923147474800413e-13
EC,Mass,-1.9993547357725375e-08,3.619784764720038e-11,-0.14019969742797828,0.48234071924027333,6.0137060146520336e-05,0.0005134167940953257,0.0013816081255551061,0.028612626246846157,2.1732998472461143e-06,,2.1367130028642605e-12,1.129052979056149e-12,1.8633196548327474e-12,1.4474088352015023e-12,4.999860292932889e-13,3.3608055850055255e-13
EC,F3_F4_alpha_asymmetry,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12,-5.793831562108834e-12
