condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EC,F7,1.866442391970198e-08,4.9664241815943085e-11,-0.23953396297024618,0.39505331482597184,6.1012030212056616e-05,0.0005326007664507487,0.001646349164532414,0.03847373344034965,2.994672969067423e-06,,6.161387186857063e-12,1.629139350793125e-12,1.5552083717412645e-12,1.5966157393542175e-12,4.96695183794962e-13,1.31701914040509e-13
EC,F3,2.4823942778729146e-08,5.733421702328124e-11,-0.06569925437186612,0.32229242135303826,7.284809375963556e-05,0.000600325758101847,0.0017595891782991788,0.03093088264423368,3.4581619269257697e-06,,5.955000993170556e-12,2.3838550822077658e-12,2.61806134090154e-12,1.9415951026507157e-12,7.640439299411798e-13,1.6606863349949103e-13
EC,Fz,1.0973762378768363e-08,6.146236556878751e-11,-0.02239874290471795,0.3233817653941049,7.396194340292175e-05,0.0005874174849253528,0.0018331201792077469,0.03270905189646106,3.7061316268605157e-06,,6.771179838051427e-12,3.134143931851244e-12,3.392543740401428e-12,2.0346541516825532e-12,7.098036621989978e-13,1.0316535887737288e-13
EC,F4,-5.432659809437515e-09,6.492111493553964e-11,-0.08297748601201026,0.314339540275153,7.43032185805447e-05,0.0006130483844026428,0.0018809765319637037,0.03702552740147793,3.913999191742196e-06,,6.846937580498794e-12,2.961052062233868e-12,3.2331684058100644e-12,2.0800936962167445e-12,8.097984071405781e-13,1.1973241904156253e-13
EC,F8,-5.809384993214716e-08,7.5013333404455e-11,-0.16160544144688957,0.3642983178517163,7.999714713882052e-05,0.0006038014168380444,0.0020391067020383517,0.04173448718311495,4.529475856579096e-06,,1.0973972629002328e-11,1.8642273899311146e-12,1.7360013292452541e-12,1.9008030477824745e-12,5.335415002137708e-13,1.588233642561239e-13
EC,FC3,2.846215543628929e-08,6.043679692499097e-11,-0.05018819155487183,0.31152553814542294,7.623761415862735e-05,0.0005827223015463504,0.001817700947255087,0.030238203688953115,3.643883479546996e-06,,6.370942014460275e-12,2.9673175833943825e-12,3.3436193385500935e-12,2.228941660142086e-12,6.978146695428607e-13,9.908376640147924e-14
EC,FCz,3.5617823871444266e-08,7.572187718783758e-11,-0.030722866292495158,0.326993990795748,8.919502915313705e-05,0.0006404044156045738,0.0020383825637884075,0.0385349214160624,4.5653318315231725e-06,,8.10010225984639e-12,4.253507573494371e-12,4.734005902369943e-12,2.6678737826430776e-12,8.154309159357683e-13,1.098930879302474e-13
EC,FC4,-2.273768095462145e-09,6.202578775080348e-11,-0.09366703905003071,0.5724849182949545,8.126244101265799e-05,0.000581982351866751,0.0018440839243194468,0.03371935929375768,3.7397333551349196e-06,,6.186228556672078e-12,3.2970237819208515e-12,3.674564748548286e-12,2.1720326770812514e-12,6.943727826567475e-13,8.62168809439564e-14
EC,T7,7.50098765688135e-08,5.978024975468692e-11,-0.07980263081403192,0.6208745470934911,8.469027084661576e-05,0.0006571300172519175,0.001781148859888609,0.037951278173973306,3.6050537316413403e-06,,4.7344996846769605e-12,2.0102085548736696e-12,2.0755380302701966e-12,2.0055233429416356e-12,9.690650040073912e-13,3.4831992907951996e-13
EC,C3,4.97624227272843e-08,6.524724045150517e-11,-0.11274435545690568,0.34431934370678663,7.289513675156137e-05,0.0005856346630912858,0.001894925253171354,0.03376877417956773,3.933836835435758e-06,,6.9449764014222935e-12,3.2409511366698327e-12,3.994140049346347e-12,2.571441607401986e-12,6.482299977634586e-13,8.856578610247774e-14
